Exercício: 2016;;;;;;;;
Escopo: Municípios do Estado - AL;;;;;;;;
Tabela: Receitas Orçamentárias (Anexo I-C);;;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta; Valor ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.3.0.00.00.00 - Receita da Dívida Ativa;siconfi-cor_RO1.9.3.0.00.00.00; R$ 31.844.272,35 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.3.1.00.00.00 - Receita da Dívida Ativa Tributária;siconfi-cor_RO1.9.3.1.00.00.00; R$ 30.200.315,06 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.3.1.11.00.00 - Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU;siconfi-cor_RO1.9.3.1.11.00.00; R$ 13.352.825,97 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.3.1.12.00.00 - Receita da Dívida Ativa do Imposto sobre a Transmissão Inter Vivos de Bens Imóveis - ITBI;siconfi-cor_RO1.9.3.1.12.00.00; R$ 17.583,46 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.3.1.13.00.00 - Receita da Dívida Ativa do Imposto sobre Serviços de Qualquer Natureza ¿ ISS;siconfi-cor_RO1.9.3.1.13.00.00; R$ 7.311.227,38 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.3.1.99.00.00 - Receita da Dívida Ativa de Outros Tributos;siconfi-cor_RO1.9.3.1.99.00.00; R$ 9.518.678,25 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.3.2.00.00.00 - Receita da Dívida Ativa Não Tributária;siconfi-cor_RO1.9.3.2.00.00.00; R$ 1.643.957,29 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.3.2.99.00.00 - Receita da Dívida Ativa Não Tributária de Outras Receitas;siconfi-cor_RO1.9.3.2.99.00.00; R$ 1.643.957,29 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.9.0.00.00.00 - Receitas Diversas;siconfi-cor_RO1.9.9.0.00.00.00; R$ 1.111.856,74 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.9.0.99.00.00 - Outras Receitas;siconfi-cor_RO1.9.9.0.99.00.00; R$ 1.111.856,74 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;2.0.0.0.00.00.00 - Receitas de Capital;siconfi-cor_RO2.0.0.0.00.00.00; R$ 10.962.805,58 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;2.4.0.0.00.00.00 - Transferências de Capital;siconfi-cor_RO2.4.0.0.00.00.00; R$ 9.430.547,86 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;2.4.2.0.00.00.00 - Transferências Intergovernamentais;siconfi-cor_RO2.4.2.0.00.00.00; R$ 2.538.906,66 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;2.4.2.1.00.00.00 - Transferências da União;siconfi-cor_RO2.4.2.1.00.00.00; R$ 2.538.906,66 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;2.4.2.1.01.00.00 - Participação na Receita da União;siconfi-cor_RO2.4.2.1.01.00.00; R$ 2.538.906,66 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;2.4.7.0.00.00.00 - Transferências de Convênios;siconfi-cor_RO2.4.7.0.00.00.00; R$ 6.891.641,20 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;2.4.7.1.00.00.00 - Transferências de Convênios da União e de suas Entidades;siconfi-cor_RO2.4.7.1.00.00.00; R$ 6.891.641,20 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;2.4.7.1.02.00.00 - Transferências de Convênios da União Destinadas a Programas de Educação;siconfi-cor_RO2.4.7.1.02.00.00; R$ 4.590.603,44 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;2.4.7.1.99.00.00 - Outras Transferências de Convênios da União;siconfi-cor_RO2.4.7.1.99.00.00; R$ 2.301.037,76 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;2.5.0.0.00.00.00 - Outras Receitas de Capital;siconfi-cor_RO2.5.0.0.00.00.00; R$ 1.532.257,72 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;2.5.9.0.00.00.00 - Outras Receitas;siconfi-cor_RO2.5.9.0.00.00.00; R$ 1.532.257,72 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;7.0.0.0.00.00.00 - Receitas Correntes Intraorçamentárias;siconfi-cor_RI7.0.0.0.00.00.00; R$ 103.320.461,86 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;7.2.0.0.00.00.00 - Receitas de Contribuições Intraorçamentárias;siconfi-cor_RI7.2.0.0.00.00.00; R$ 100.996.998,21 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;7.2.1.0.00.00.00 - Contribuições Sociais Intraorçamentárias;siconfi-cor_RI7.2.1.0.00.00.00; R$ 100.996.998,21 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;7.2.1.0.29.00.00 - Contribuições para o Regime Próprio de Previdência do Servidor Público Intraorçamentárias;siconfi-cor_RI7.2.1.0.29.00.00; R$ 100.996.998,21 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;7.2.1.0.29.99.00 - Outras Contribuições para o Regime Próprio de Previdência do Servidor Público Intraorçamentárias;siconfi-cor_RI7.2.1.0.29.99.00; R$ 100.996.998,21 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;7.9.0.0.00.00.00 - Outras Receitas Correntes Intraorçamentárias;siconfi-cor_RI7.9.0.0.00.00.00; R$ 2.323.463,65 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;7.9.1.2.00.00.00 - Multas e Juros de Mora das Contribuições Intraorçamentárias;siconfi-cor_RI7.9.1.2.00.00.00; R$ 2.323.463,65 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;7.9.1.2.29.00.00 - Multas e Juros de Mora das Contribuições para o Regime Próprio de Previdência do Servidor Intraorçamentárias;siconfi-cor_RI7.9.1.2.29.00.00; R$ 2.323.463,65 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;8.0.0.0.00.00.00 - Receitas de Capital Intraorçamentárias;siconfi-cor_RI8.0.0.0.00.00.00; R$ 85.460.018,64 ;
